question,answer
"What is a hatchback?","A hatchback is a small car with a full-height rear door and flexible boot space."
"What is a sedan?","A sedan is a car body style with separate boot, usually four doors and a fixed roof."
"What is fuel economy?","Fuel economy measures how efficiently a vehicle uses fuel, often in miles per gallon or litres per 100 km."
"What is torque in a car?","Torque is the rotational force produced by the engine, important for acceleration and towing."
"What is horsepower?","Horsepower is a unit that measures the engine's power output."
"What is a manual transmission?","A manual transmission requires the driver to change gears using a clutch pedal and gear stick."
"What is an automatic transmission?","An automatic transmission changes gears for you without a clutch pedal."
"What is range anxiety?","Range anxiety is the fear that an electric vehicle will run out of charge before reaching a charger."
"What is a plug-in hybrid?","A plug-in hybrid has a battery you can charge from the grid and a combustion engine for longer trips."
"What is vehicle insurance?","Vehicle insurance is a contract that covers financial loss if your car is damaged, stolen or causes injury or damage."
"What is the difference between petrol and diesel engines?","Petrol engines use spark plugs to ignite fuel while diesel engines use compression. Diesel engines are more fuel-efficient but petrol engines are typically smoother and quieter."
"How often should I service my car?","Most manufacturers recommend servicing your car every 12000 miles or 12 months whichever comes first. Regular servicing helps maintain performance and safety."
"What is four wheel drive?","Four wheel drive (4WD) is a drivetrain system that sends power to all four wheels simultaneously. This provides better traction on slippery or off-road surfaces."
"What is the difference between AWD and 4WD?","AWD (All-Wheel Drive) operates automatically and continuously while 4WD is typically manually engaged and designed for off-road use. AWD is common in SUVs and crossovers."
"How do hybrid cars save fuel?","Hybrid cars save fuel by using the electric motor at low speeds and switching to the petrol engine at higher speeds. They also use regenerative braking to recharge the battery."
"What is regenerative braking?","Regenerative braking is a system that converts kinetic energy during braking into electrical energy which is stored in the battery. This is commonly used in electric and hybrid vehicles."
"What are the advantages of electric cars?","Electric cars have lower running costs zero tailpipe emissions quieter operation instant torque and fewer moving parts which means less maintenance compared to petrol or diesel cars."
"What are the disadvantages of electric cars?","Electric cars can have limited range longer refuelling times higher upfront costs and dependence on charging infrastructure. Battery degradation over time is also a concern."
"How much does it cost to charge an electric car?","Charging an electric car at home typically costs between 3 to 8 pounds for a full charge depending on electricity rates. Public fast chargers can cost more at around 30 to 40p per kWh."
"What is a crossover vehicle?","A crossover is a type of vehicle built on a car platform but with features similar to an SUV such as higher ground clearance and optional all-wheel drive. Examples include the Nissan Qashqai and Toyota RAV4."
"What is turbocharging?","Turbocharging uses exhaust gases to spin a turbine which forces more air into the engine cylinders. This increases power output without significantly increasing engine size making the engine more efficient."
"What is the difference between automatic and manual transmission?","Automatic transmission shifts gears automatically without driver input while manual transmission requires the driver to change gears using a clutch pedal and gear stick. Automatics are easier to drive but manuals offer more control."
"What safety features do modern cars have?","Modern cars include features such as anti-lock braking systems (ABS) electronic stability control airbags lane departure warning adaptive cruise control automatic emergency braking and blind spot monitoring."
"What is a catalytic converter?","A catalytic converter is an exhaust emission control device that converts toxic gases and pollutants from the engine into less harmful substances like carbon dioxide and water vapour."
"What is the best family car?","Popular family cars include the Skoda Octavia Volkswagen Tiguan Ford Kuga and Kia Sportage. The best choice depends on your budget space requirements and whether you prefer petrol diesel or electric."
"What is car leasing?","Car leasing is a long-term rental agreement where you pay monthly to use a car for a set period usually 2-4 years. At the end of the lease you return the car. It often requires lower upfront costs than buying."
"What is vehicle road tax?","Vehicle road tax or Vehicle Excise Duty (VED) is a tax paid to legally drive on UK roads. The amount depends on the vehicles CO2 emissions. Electric vehicles are currently exempt from road tax."
"What is the MOT test?","The MOT test is an annual inspection required for vehicles over 3 years old in the UK. It checks that the vehicle meets minimum road safety and environmental standards including brakes lights tyres and emissions."
"How do I improve my cars fuel efficiency?","You can improve fuel efficiency by maintaining correct tyre pressure driving smoothly avoiding excessive idling removing unnecessary weight keeping up with regular servicing and using cruise control on motorways."
"What is a hydrogen fuel cell car?","A hydrogen fuel cell car generates electricity by combining hydrogen and oxygen in a fuel cell. The only emission is water vapour. Examples include the Toyota Mirai and Hyundai Nexo."
"What are run flat tyres?","Run flat tyres are designed to resist the effects of deflation when punctured. They allow you to continue driving at reduced speed typically up to 50 miles so you can reach a garage safely."
"What is the difference between coupe and convertible?","A coupe is a two-door car with a fixed roof and sporty design while a convertible has a roof that can be folded down or removed to allow open-air driving."
"What is cruise control?","Cruise control is a system that automatically maintains a vehicles speed as set by the driver. Adaptive cruise control goes further by automatically adjusting speed to maintain a safe distance from the vehicle ahead."
"What is a dashcam?","A dashcam is a camera mounted on the dashboard or windscreen that continuously records video while driving. It can provide evidence in case of accidents and may help reduce insurance premiums."
"What is transmission?","Transmission refers to the gearbox. It transmits power from the engine to the wheels."
"What is torque?","Torque is the rotational force from the engine measured in Newton-metres. Higher torque means stronger acceleration especially from low speeds."
"What is an estate car?","An estate car or wagon has an extended rear cargo area offering more luggage space than a sedan. Examples include the Volvo V60 and Skoda Superb Estate."
"What is lane assist?","Lane assist uses cameras to detect road markings and gently steers the car back if you drift out of your lane without indicating."
"What is MPG?","MPG means Miles Per Gallon measuring how far a car travels on one gallon of fuel. Higher MPG means better fuel economy."
"What is a supercharger?","A supercharger is driven by the engine via a belt and forces more air into cylinders for extra power. Unlike a turbo it provides instant boost with no lag."
